True Label,Predicted Label
Administration,Judiciary
Financial Services,Financial Services
Energy And Commerce,Energy And Commerce
Oversight and Reform,Oversight and Reform
Administration,Judiciary
Ways And Means,Ways And Means
Foreign Affairs,Energy And Commerce
Veterans' Affairs,Veterans' Affairs
Transportation And Infrastructure,Transportation And Infrastructure
Ways And Means,Ways And Means
Financial Services,Financial Services
Energy And Commerce,Energy And Commerce
Energy And Commerce,Energy And Commerce
Education and Labor,Education and Labor
Natural Resources,Natural Resources
Judiciary,Judiciary
Natural Resources,Natural Resources
Transportation And Infrastructure,Transportation And Infrastructure
Natural Resources,Natural Resources
Judiciary,Foreign Affairs
Energy And Commerce,Education and Labor
Transportation And Infrastructure,Transportation And Infrastructure
Energy And Commerce,Energy And Commerce
Natural Resources,Natural Resources
Judiciary,Judiciary
Oversight and Reform,Energy And Commerce
Energy And Commerce,Energy And Commerce
Transportation And Infrastructure,Transportation And Infrastructure
Transportation And Infrastructure,Energy And Commerce
Ways And Means,Ways And Means
Education and Labor,Education and Labor
Energy And Commerce,Energy And Commerce
Energy And Commerce,Energy And Commerce
Veterans' Affairs,Veterans' Affairs
Agriculture,Agriculture
Transportation And Infrastructure,Transportation And Infrastructure
Oversight and Reform,Energy And Commerce
Transportation And Infrastructure,Energy And Commerce
Energy And Commerce,Energy And Commerce
Judiciary,Judiciary
Appropriations,Energy And Commerce
Financial Services,Financial Services
Education and Labor,Education and Labor
Agriculture,Financial Services
Education and Labor,Judiciary
Ways And Means,Ways And Means
Ways And Means,Ways And Means
Oversight and Reform,Oversight and Reform
Administration,Energy And Commerce
Judiciary,Energy And Commerce
Ways And Means,Natural Resources
Armed Services,Foreign Affairs
Education and Labor,Education and Labor
Energy And Commerce,Energy And Commerce
Judiciary,Energy And Commerce
Agriculture,Energy And Commerce
Judiciary,Energy And Commerce
Transportation And Infrastructure,Judiciary
Veterans' Affairs,Veterans' Affairs
Rules,Judiciary
Judiciary,Judiciary
Oversight and Reform,Oversight and Reform
Ways And Means,Ways And Means
Oversight and Reform,Oversight and Reform
Homeland Security,Judiciary
Ways And Means,Ways And Means
Education and Labor,Education and Labor
Financial Services,Financial Services
Small Business,Small Business
Financial Services,Financial Services
Intelligence,Foreign Affairs
Armed Services,Armed Services
Transportation And Infrastructure,Transportation And Infrastructure
Ways And Means,Ways And Means
Foreign Affairs,Foreign Affairs
Energy And Commerce,Energy And Commerce
Oversight and Reform,Oversight and Reform
Education and Labor,Education and Labor
Energy And Commerce,Energy And Commerce
Judiciary,Judiciary
Energy And Commerce,Energy And Commerce
Appropriations,Appropriations
Veterans' Affairs,Veterans' Affairs
Budget,Budget
Judiciary,Judiciary
Energy And Commerce,Energy And Commerce
Financial Services,Financial Services
Veterans' Affairs,Veterans' Affairs
Transportation And Infrastructure,Judiciary
Administration,Administration
Ways And Means,Ways And Means
"Science, Space, And Technology",Energy And Commerce
Natural Resources,Natural Resources
Education and Labor,Education and Labor
Administration,Judiciary
Education and Labor,Education and Labor
Ways And Means,Ways And Means
Financial Services,Energy And Commerce
Ways And Means,Ways And Means
Education and Labor,Education and Labor
Veterans' Affairs,Veterans' Affairs
Judiciary,Judiciary
Oversight and Reform,Oversight and Reform
Energy And Commerce,Energy And Commerce
Foreign Affairs,Foreign Affairs
Foreign Affairs,Foreign Affairs
Energy And Commerce,Energy And Commerce
Transportation And Infrastructure,Energy And Commerce
Energy And Commerce,Energy And Commerce
Ways And Means,Ways And Means
Energy And Commerce,Energy And Commerce
Veterans' Affairs,Veterans' Affairs
Energy And Commerce,Energy And Commerce
Ways And Means,Ways And Means
Financial Services,Financial Services
Ways And Means,Ways And Means
Armed Services,Armed Services
Ways And Means,Ways And Means
Energy And Commerce,Energy And Commerce
Energy And Commerce,Natural Resources
Ways And Means,Foreign Affairs
Judiciary,Energy And Commerce
Natural Resources,Natural Resources
Judiciary,Judiciary
Energy And Commerce,Energy And Commerce
Financial Services,Financial Services
Ways And Means,Energy And Commerce
Energy And Commerce,Energy And Commerce
Education and Labor,Education and Labor
Energy And Commerce,Energy And Commerce
Education and Labor,Financial Services
Energy And Commerce,Energy And Commerce
Financial Services,Energy And Commerce
Small Business,Financial Services
Armed Services,Ways And Means
Ways And Means,Ways And Means
Ways And Means,Ways And Means
Financial Services,Financial Services
Foreign Affairs,Foreign Affairs
Ways And Means,Ways And Means
Small Business,Financial Services
Transportation And Infrastructure,Transportation And Infrastructure
Judiciary,Judiciary
Energy And Commerce,Energy And Commerce
Natural Resources,Energy And Commerce
Education and Labor,Education and Labor
Natural Resources,Natural Resources
Education and Labor,Education and Labor
Energy And Commerce,Energy And Commerce
Transportation And Infrastructure,Transportation And Infrastructure
Energy And Commerce,Energy And Commerce
Veterans' Affairs,Veterans' Affairs
Ways And Means,Ways And Means
Administration,Judiciary
Natural Resources,Natural Resources
Judiciary,Judiciary
Transportation And Infrastructure,Transportation And Infrastructure
Education and Labor,Education and Labor
Ethics,Judiciary
Homeland Security,Judiciary
Armed Services,Armed Services
Judiciary,Judiciary
Foreign Affairs,Energy And Commerce
Education and Labor,Education and Labor
Energy And Commerce,Energy And Commerce
Energy And Commerce,Energy And Commerce
Veterans' Affairs,Veterans' Affairs
Transportation And Infrastructure,Transportation And Infrastructure
Energy And Commerce,Energy And Commerce
Ways And Means,Ways And Means
Energy And Commerce,Energy And Commerce
Foreign Affairs,Foreign Affairs
Energy And Commerce,Energy And Commerce
Judiciary,Judiciary
Judiciary,Judiciary
Ways And Means,Ways And Means
Oversight and Reform,Judiciary
Agriculture,Energy And Commerce
Natural Resources,Education and Labor
Education and Labor,Energy And Commerce
Foreign Affairs,Foreign Affairs
Veterans' Affairs,Veterans' Affairs
Veterans' Affairs,Veterans' Affairs
"Science, Space, And Technology",Energy And Commerce
Veterans' Affairs,Veterans' Affairs
Natural Resources,Natural Resources
Transportation And Infrastructure,Transportation And Infrastructure
Ways And Means,Energy And Commerce
Transportation And Infrastructure,Natural Resources
Foreign Affairs,Foreign Affairs
Ways And Means,Judiciary
Energy And Commerce,Energy And Commerce
Energy And Commerce,Energy And Commerce
Education and Labor,Education and Labor
Natural Resources,Natural Resources
Judiciary,Judiciary
Oversight and Reform,Oversight and Reform
Foreign Affairs,Foreign Affairs
Energy And Commerce,Energy And Commerce
Natural Resources,Natural Resources
Energy And Commerce,Energy And Commerce
Judiciary,Judiciary
Education and Labor,Education and Labor
Oversight and Reform,Ways And Means
Financial Services,Energy And Commerce
Judiciary,Judiciary
Transportation And Infrastructure,Transportation And Infrastructure
Education and Labor,Education and Labor
Financial Services,Financial Services
Armed Services,Energy And Commerce
Oversight and Reform,Oversight and Reform
Ways And Means,Ways And Means
Education and Labor,Education and Labor
Oversight and Reform,Energy And Commerce
Ways And Means,Ways And Means
Administration,Judiciary
Education and Labor,Education and Labor
Education and Labor,Education and Labor
Ways And Means,Ways And Means
Homeland Security,Judiciary
Ways And Means,Energy And Commerce
Financial Services,Financial Services
Natural Resources,Judiciary
Natural Resources,Natural Resources
Natural Resources,Foreign Affairs
Ways And Means,Ways And Means
Judiciary,Judiciary
Foreign Affairs,Foreign Affairs
Education and Labor,Education and Labor
Financial Services,Financial Services
Ways And Means,Ways And Means
Natural Resources,Natural Resources
Energy And Commerce,Energy And Commerce
Oversight and Reform,Energy And Commerce
Foreign Affairs,Foreign Affairs
Judiciary,Judiciary
Veterans' Affairs,Veterans' Affairs
Veterans' Affairs,Veterans' Affairs
Foreign Affairs,Foreign Affairs
Ways And Means,Ways And Means
Oversight and Reform,Oversight and Reform
Education and Labor,Education and Labor
Energy And Commerce,Energy And Commerce
Small Business,Small Business
Energy And Commerce,Energy And Commerce
Ways And Means,Ways And Means
Education and Labor,Education and Labor
Financial Services,Financial Services
Veterans' Affairs,Veterans' Affairs
Energy And Commerce,Energy And Commerce
Transportation And Infrastructure,Energy And Commerce
Ways And Means,Ways And Means
Judiciary,Judiciary
Energy And Commerce,Energy And Commerce
Education and Labor,Education and Labor
Financial Services,Agriculture
Energy And Commerce,Energy And Commerce
Energy And Commerce,Energy And Commerce
Judiciary,Judiciary
Judiciary,Judiciary
Transportation And Infrastructure,Transportation And Infrastructure
Foreign Affairs,Energy And Commerce
Energy And Commerce,Energy And Commerce
Oversight and Reform,Judiciary
Energy And Commerce,Energy And Commerce
Oversight and Reform,Judiciary
Education and Labor,Education and Labor
Small Business,Small Business
Judiciary,Judiciary
Education and Labor,Education and Labor
Ways And Means,Ways And Means
Oversight and Reform,Judiciary
Oversight and Reform,Judiciary
Ways And Means,Ways And Means
Ways And Means,Ways And Means
Foreign Affairs,Foreign Affairs
Homeland Security,Judiciary
Ways And Means,Ways And Means
Judiciary,Education and Labor
Transportation And Infrastructure,Transportation And Infrastructure
Oversight and Reform,Oversight and Reform
Judiciary,Judiciary
Energy And Commerce,Judiciary
Appropriations,Judiciary
Foreign Affairs,Foreign Affairs
Ways And Means,Ways And Means
Financial Services,Financial Services
Education and Labor,Education and Labor
Transportation And Infrastructure,Judiciary
Oversight and Reform,Oversight and Reform
Homeland Security,Oversight and Reform
Rules,Judiciary
Intelligence,Energy And Commerce
Armed Services,Armed Services
Natural Resources,Natural Resources
Natural Resources,Natural Resources
Energy And Commerce,Energy And Commerce
Oversight and Reform,Judiciary
Oversight and Reform,Energy And Commerce
Judiciary,Natural Resources
Small Business,Energy And Commerce
Education and Labor,Oversight and Reform
Oversight and Reform,Education and Labor
Agriculture,Energy And Commerce
Foreign Affairs,Foreign Affairs
Oversight and Reform,Oversight and Reform
Judiciary,Judiciary
Ways And Means,Judiciary
Education and Labor,Education and Labor
Judiciary,Education and Labor
Financial Services,Financial Services
Foreign Affairs,Foreign Affairs
Energy And Commerce,Energy And Commerce
Veterans' Affairs,Veterans' Affairs
Foreign Affairs,Natural Resources
Administration,Judiciary
Oversight and Reform,Oversight and Reform
Administration,Administration
Oversight and Reform,Oversight and Reform
Judiciary,Judiciary
Oversight and Reform,Foreign Affairs
Transportation And Infrastructure,Transportation And Infrastructure
Natural Resources,Natural Resources
Energy And Commerce,Energy And Commerce
Energy And Commerce,Energy And Commerce
Transportation And Infrastructure,Transportation And Infrastructure
Armed Services,Armed Services
Education and Labor,Education and Labor
Foreign Affairs,Foreign Affairs
Natural Resources,Natural Resources
Natural Resources,Natural Resources
Ways And Means,Ways And Means
Veterans' Affairs,Veterans' Affairs
Armed Services,Armed Services
Small Business,Energy And Commerce
Veterans' Affairs,Veterans' Affairs
Small Business,Judiciary
Education and Labor,Education and Labor
Natural Resources,Natural Resources
Ethics,Judiciary
Financial Services,Financial Services
Ways And Means,Ways And Means
Ways And Means,Ways And Means
Oversight and Reform,Energy And Commerce
Armed Services,Armed Services
Financial Services,Financial Services
Oversight and Reform,Oversight and Reform
"Science, Space, And Technology",Energy And Commerce
Financial Services,Financial Services
Homeland Security,Homeland Security
Veterans' Affairs,Veterans' Affairs
Judiciary,Judiciary
Rules,Oversight and Reform
Judiciary,Judiciary
Agriculture,Agriculture
Financial Services,Financial Services
Ways And Means,Ways And Means
Judiciary,Judiciary
Armed Services,Armed Services
Budget,Energy And Commerce
Judiciary,Judiciary
Oversight and Reform,Oversight and Reform
Energy And Commerce,Energy And Commerce
Financial Services,Energy And Commerce
Energy And Commerce,Energy And Commerce
Education and Labor,Education and Labor
Energy And Commerce,Energy And Commerce
Energy And Commerce,Energy And Commerce
Foreign Affairs,Foreign Affairs
Ways And Means,Ways And Means
Administration,Judiciary
Ways And Means,Ways And Means
Ways And Means,Ways And Means
Homeland Security,Judiciary
Energy And Commerce,Energy And Commerce
Judiciary,Judiciary
Education and Labor,Education and Labor
Education and Labor,Education and Labor
Financial Services,Financial Services
Transportation And Infrastructure,Energy And Commerce
Oversight and Reform,Oversight and Reform
Energy And Commerce,Energy And Commerce
Education and Labor,Foreign Affairs
Ways And Means,Ways And Means
Foreign Affairs,Foreign Affairs
Judiciary,Judiciary
Transportation And Infrastructure,Energy And Commerce
Judiciary,Judiciary
Energy And Commerce,Energy And Commerce
Energy And Commerce,Energy And Commerce
Foreign Affairs,Foreign Affairs
Financial Services,Financial Services
Energy And Commerce,Energy And Commerce
Natural Resources,Natural Resources
Homeland Security,Judiciary
Ways And Means,Ways And Means
Natural Resources,Energy And Commerce
Energy And Commerce,Energy And Commerce
Judiciary,Judiciary
Foreign Affairs,Judiciary
Ways And Means,Ways And Means
Ways And Means,Ways And Means
Energy And Commerce,Energy And Commerce
Judiciary,Energy And Commerce
Education and Labor,Education and Labor
Homeland Security,Judiciary
Oversight and Reform,Judiciary
Financial Services,Financial Services
Ways And Means,Ways And Means
Natural Resources,Energy And Commerce
Veterans' Affairs,Veterans' Affairs
Oversight and Reform,Oversight and Reform
Ways And Means,Ways And Means
Agriculture,Natural Resources
Energy And Commerce,Energy And Commerce
Judiciary,Judiciary
Energy And Commerce,Energy And Commerce
Financial Services,Financial Services
Energy And Commerce,Energy And Commerce
Natural Resources,Natural Resources
Judiciary,Judiciary
Armed Services,Energy And Commerce
Energy And Commerce,Energy And Commerce
Foreign Affairs,Foreign Affairs
Judiciary,Judiciary
Judiciary,Judiciary
Judiciary,Judiciary
Ways And Means,Ways And Means
Armed Services,Energy And Commerce
Foreign Affairs,Energy And Commerce
Transportation And Infrastructure,Transportation And Infrastructure
Small Business,Financial Services
Armed Services,Armed Services
Judiciary,Judiciary
Energy And Commerce,Energy And Commerce
Transportation And Infrastructure,Transportation And Infrastructure
Judiciary,Judiciary
Ways And Means,Ways And Means
Ways And Means,Energy And Commerce
Administration,Judiciary
Judiciary,Judiciary
Ways And Means,Ways And Means
Agriculture,Agriculture
Education and Labor,Education and Labor
