True Label,Predicted Label
Administration,Administration
Financial Services,Financial Services
Energy And Commerce,Energy And Commerce
Oversight and Reform,Oversight and Reform
Administration,Administration
Ways And Means,Ways And Means
Foreign Affairs,Energy And Commerce
Veterans' Affairs,Veterans' Affairs
Transportation And Infrastructure,Transportation And Infrastructure
Ways And Means,Ways And Means
Financial Services,Financial Services
Energy And Commerce,Energy And Commerce
Energy And Commerce,Energy And Commerce
Education and Labor,Education and Labor
Natural Resources,Natural Resources
Judiciary,Judiciary
Natural Resources,Natural Resources
Transportation And Infrastructure,Transportation And Infrastructure
Natural Resources,Natural Resources
Judiciary,Foreign Affairs
Energy And Commerce,Energy And Commerce
Transportation And Infrastructure,Oversight and Reform
Energy And Commerce,Energy And Commerce
Natural Resources,Natural Resources
Judiciary,Judiciary
Oversight and Reform,Energy And Commerce
Energy And Commerce,Energy And Commerce
Transportation And Infrastructure,Transportation And Infrastructure
Transportation And Infrastructure,Transportation And Infrastructure
Ways And Means,Ways And Means
Education and Labor,Education and Labor
Energy And Commerce,Energy And Commerce
Energy And Commerce,Energy And Commerce
Veterans' Affairs,Veterans' Affairs
Agriculture,Agriculture
Transportation And Infrastructure,Transportation And Infrastructure
Oversight and Reform,Oversight and Reform
Transportation And Infrastructure,Energy And Commerce
Energy And Commerce,Energy And Commerce
Judiciary,Judiciary
Appropriations,Appropriations
Financial Services,Financial Services
Education and Labor,Education and Labor
Agriculture,Financial Services
Education and Labor,Education and Labor
Ways And Means,Ways And Means
Ways And Means,Ways And Means
Oversight and Reform,Oversight and Reform
Administration,Administration
Judiciary,Administration
Ways And Means,Ways And Means
Armed Services,Armed Services
Education and Labor,Education and Labor
Energy And Commerce,Energy And Commerce
Judiciary,Energy And Commerce
Agriculture,Agriculture
Judiciary,Energy And Commerce
Transportation And Infrastructure,Natural Resources
Veterans' Affairs,Veterans' Affairs
Rules,Administration
Judiciary,Judiciary
Oversight and Reform,Oversight and Reform
Ways And Means,Ways And Means
Oversight and Reform,Appropriations
Homeland Security,Agriculture
Ways And Means,Ways And Means
Education and Labor,Education and Labor
Financial Services,Financial Services
Small Business,Small Business
Financial Services,Financial Services
Intelligence,Intelligence
Armed Services,Armed Services
Transportation And Infrastructure,Transportation And Infrastructure
Ways And Means,Ways And Means
Foreign Affairs,Foreign Affairs
Energy And Commerce,Energy And Commerce
Oversight and Reform,Oversight and Reform
Education and Labor,Education and Labor
Energy And Commerce,Energy And Commerce
Judiciary,Judiciary
Energy And Commerce,Energy And Commerce
Appropriations,Appropriations
Veterans' Affairs,Veterans' Affairs
Budget,Budget
Judiciary,Judiciary
Energy And Commerce,Energy And Commerce
Financial Services,Financial Services
Veterans' Affairs,Veterans' Affairs
Transportation And Infrastructure,Judiciary
Administration,Administration
Ways And Means,Ways And Means
"Science, Space, And Technology",Energy And Commerce
Natural Resources,Natural Resources
Education and Labor,Education and Labor
Administration,Administration
Education and Labor,Education and Labor
Ways And Means,Ways And Means
Financial Services,Financial Services
Ways And Means,Ways And Means
Education and Labor,Education and Labor
Veterans' Affairs,Veterans' Affairs
Judiciary,Judiciary
Oversight and Reform,Oversight and Reform
Energy And Commerce,Energy And Commerce
Foreign Affairs,Foreign Affairs
Foreign Affairs,Foreign Affairs
Energy And Commerce,Energy And Commerce
Transportation And Infrastructure,Energy And Commerce
Energy And Commerce,Energy And Commerce
Ways And Means,Ways And Means
Energy And Commerce,Energy And Commerce
Veterans' Affairs,Veterans' Affairs
Energy And Commerce,Energy And Commerce
Ways And Means,Ways And Means
Financial Services,Financial Services
Ways And Means,Ways And Means
Armed Services,Armed Services
Ways And Means,Ways And Means
Energy And Commerce,Energy And Commerce
Energy And Commerce,Natural Resources
Ways And Means,Foreign Affairs
Judiciary,Energy And Commerce
Natural Resources,Natural Resources
Judiciary,Judiciary
Energy And Commerce,Energy And Commerce
Financial Services,Financial Services
Ways And Means,Energy And Commerce
Energy And Commerce,Energy And Commerce
Education and Labor,Education and Labor
Energy And Commerce,Energy And Commerce
Education and Labor,Financial Services
Energy And Commerce,Energy And Commerce
Financial Services,Financial Services
Small Business,Financial Services
Armed Services,Armed Services
Ways And Means,Ways And Means
Ways And Means,Ways And Means
Financial Services,Financial Services
Foreign Affairs,Armed Services
Ways And Means,Ways And Means
Small Business,Small Business
Transportation And Infrastructure,Transportation And Infrastructure
Judiciary,Judiciary
Energy And Commerce,Energy And Commerce
Natural Resources,Energy And Commerce
Education and Labor,Education and Labor
Natural Resources,Natural Resources
Education and Labor,Education and Labor
Energy And Commerce,Energy And Commerce
Transportation And Infrastructure,Transportation And Infrastructure
Energy And Commerce,Energy And Commerce
Veterans' Affairs,Veterans' Affairs
Ways And Means,Ways And Means
Administration,Oversight and Reform
Natural Resources,Natural Resources
Judiciary,Judiciary
Transportation And Infrastructure,Transportation And Infrastructure
Education and Labor,Education and Labor
Ethics,Ethics
Homeland Security,Judiciary
Armed Services,Armed Services
Judiciary,Judiciary
Foreign Affairs,Energy And Commerce
Education and Labor,Education and Labor
Energy And Commerce,Energy And Commerce
Energy And Commerce,Energy And Commerce
Veterans' Affairs,Veterans' Affairs
Transportation And Infrastructure,Transportation And Infrastructure
Energy And Commerce,Energy And Commerce
Ways And Means,Ways And Means
Energy And Commerce,Energy And Commerce
Foreign Affairs,Foreign Affairs
Energy And Commerce,Energy And Commerce
Judiciary,Judiciary
Judiciary,Judiciary
Ways And Means,Ways And Means
Oversight and Reform,Oversight and Reform
Agriculture,Agriculture
Natural Resources,Education and Labor
Education and Labor,Energy And Commerce
Foreign Affairs,Foreign Affairs
Veterans' Affairs,Veterans' Affairs
Veterans' Affairs,Veterans' Affairs
"Science, Space, And Technology","Science, Space, And Technology"
Veterans' Affairs,Veterans' Affairs
Natural Resources,Natural Resources
Transportation And Infrastructure,Transportation And Infrastructure
Ways And Means,Energy And Commerce
Transportation And Infrastructure,Natural Resources
Foreign Affairs,Foreign Affairs
