True Label,Predicted Label
Ways And Means,Ways And Means
Natural Resources,Natural Resources
Natural Resources,Natural Resources
Oversight and Reform,Transportation And Infrastructure
Oversight and Reform,Oversight and Reform
Foreign Affairs,Foreign Affairs
Veterans' Affairs,Veterans' Affairs
Transportation And Infrastructure,Transportation And Infrastructure
Financial Services,Financial Services
"Science, Space, And Technology",Transportation And Infrastructure
Judiciary,Judiciary
Natural Resources,Natural Resources
Small Business,Ways And Means
Energy And Commerce,Energy And Commerce
Agriculture,Energy And Commerce
Veterans' Affairs,Veterans' Affairs
Transportation And Infrastructure,Transportation And Infrastructure
Ways And Means,Ways And Means
Ways And Means,Ways And Means
Energy And Commerce,Energy And Commerce
Ways And Means,Ways And Means
Judiciary,Judiciary
Armed Services,Armed Services
Education and Labor,Ways And Means
Education and Labor,Education and Labor
Natural Resources,Natural Resources
Energy And Commerce,Energy And Commerce
Natural Resources,Natural Resources
Natural Resources,Natural Resources
Oversight and Reform,Oversight and Reform
Homeland Security,Energy And Commerce
Veterans' Affairs,Energy And Commerce
Judiciary,Judiciary
Armed Services,Oversight and Reform
Financial Services,Judiciary
Armed Services,Education and Labor
Veterans' Affairs,Veterans' Affairs
Foreign Affairs,Oversight and Reform
Ways And Means,Ways And Means
Oversight and Reform,Oversight and Reform
Transportation And Infrastructure,Transportation And Infrastructure
Transportation And Infrastructure,Natural Resources
Financial Services,Energy And Commerce
Oversight and Reform,Oversight and Reform
Budget,Energy And Commerce
Judiciary,Judiciary
Oversight and Reform,Oversight and Reform
Foreign Affairs,Foreign Affairs
Transportation And Infrastructure,Transportation And Infrastructure
Education and Labor,Education and Labor
Energy And Commerce,Energy And Commerce
Agriculture,Energy And Commerce
Ways And Means,Ways And Means
Energy And Commerce,Energy And Commerce
Education and Labor,Education and Labor
Homeland Security,Judiciary
Ways And Means,Foreign Affairs
Foreign Affairs,Foreign Affairs
Homeland Security,Homeland Security
Transportation And Infrastructure,Energy And Commerce
Energy And Commerce,Energy And Commerce
Education and Labor,Education and Labor
Budget,Judiciary
Ways And Means,Ways And Means
Oversight and Reform,Oversight and Reform
Ways And Means,Ways And Means
Energy And Commerce,Energy And Commerce
Energy And Commerce,Energy And Commerce
Judiciary,Judiciary
Homeland Security,Homeland Security
Oversight and Reform,Judiciary
Veterans' Affairs,Energy And Commerce
Foreign Affairs,Energy And Commerce
Agriculture,Ways And Means
Ways And Means,Ways And Means
Financial Services,Financial Services
Education and Labor,Energy And Commerce
Education and Labor,Education and Labor
"Science, Space, And Technology",Energy And Commerce
"Science, Space, And Technology","Science, Space, And Technology"
Financial Services,Judiciary
Ways And Means,Ways And Means
Education and Labor,Education and Labor
Judiciary,Energy And Commerce
Energy And Commerce,Energy And Commerce
Judiciary,Judiciary
Energy And Commerce,Energy And Commerce
Transportation And Infrastructure,Oversight and Reform
Judiciary,Judiciary
Oversight and Reform,Judiciary
Oversight and Reform,Oversight and Reform
Foreign Affairs,Education and Labor
Administration,Oversight and Reform
Judiciary,Judiciary
Oversight and Reform,Oversight and Reform
Administration,Judiciary
Oversight and Reform,Energy And Commerce
Energy And Commerce,Energy And Commerce
Appropriations,Energy And Commerce
Ways And Means,Ways And Means
Homeland Security,Energy And Commerce
Financial Services,Energy And Commerce
Transportation And Infrastructure,Transportation And Infrastructure
Energy And Commerce,Energy And Commerce
Appropriations,Energy And Commerce
Judiciary,Judiciary
Foreign Affairs,Foreign Affairs
Ways And Means,Ways And Means
Energy And Commerce,Energy And Commerce
Transportation And Infrastructure,Transportation And Infrastructure
Judiciary,Judiciary
Veterans' Affairs,Veterans' Affairs
Financial Services,Energy And Commerce
Oversight and Reform,Oversight and Reform
Energy And Commerce,Energy And Commerce
Financial Services,Financial Services
Judiciary,Judiciary
Energy And Commerce,Energy And Commerce
Administration,Energy And Commerce
Agriculture,Energy And Commerce
Judiciary,Judiciary
Education and Labor,Energy And Commerce
Foreign Affairs,Foreign Affairs
Budget,Energy And Commerce
Judiciary,Judiciary
Oversight and Reform,Judiciary
Financial Services,Financial Services
Judiciary,Judiciary
Natural Resources,Natural Resources
Appropriations,Energy And Commerce
Judiciary,Judiciary
Foreign Affairs,Foreign Affairs
Financial Services,Financial Services
Agriculture,Education and Labor
Ways And Means,Ways And Means
Ways And Means,Ways And Means
Oversight and Reform,Energy And Commerce
Transportation And Infrastructure,Transportation And Infrastructure
Energy And Commerce,Energy And Commerce
Oversight and Reform,Energy And Commerce
"Science, Space, And Technology","Science, Space, And Technology"
Oversight and Reform,Energy And Commerce
Ways And Means,Ways And Means
Ways And Means,Energy And Commerce
Foreign Affairs,Foreign Affairs
Judiciary,Judiciary
Foreign Affairs,Foreign Affairs
Ways And Means,Ways And Means
Energy And Commerce,Energy And Commerce
Energy And Commerce,Energy And Commerce
Transportation And Infrastructure,Transportation And Infrastructure
"Science, Space, And Technology",Foreign Affairs
Education and Labor,Education and Labor
"Science, Space, And Technology",Energy And Commerce
Financial Services,Financial Services
Energy And Commerce,Energy And Commerce
Education and Labor,Education and Labor
Oversight and Reform,Oversight and Reform
Energy And Commerce,Energy And Commerce
Energy And Commerce,Energy And Commerce
Education and Labor,Education and Labor
Financial Services,Financial Services
Oversight and Reform,Oversight and Reform
Foreign Affairs,Foreign Affairs
Judiciary,Judiciary
Education and Labor,Ways And Means
Natural Resources,Natural Resources
Natural Resources,Natural Resources
Energy And Commerce,Energy And Commerce
Oversight and Reform,Education and Labor
Judiciary,Judiciary
Energy And Commerce,Energy And Commerce
Veterans' Affairs,Veterans' Affairs
Education and Labor,Education and Labor
Judiciary,Judiciary
Veterans' Affairs,Veterans' Affairs
Judiciary,Judiciary
Energy And Commerce,Energy And Commerce
Education and Labor,Education and Labor
Ways And Means,Ways And Means
Veterans' Affairs,Veterans' Affairs
Ways And Means,Ways And Means
"Science, Space, And Technology",Energy And Commerce
Judiciary,Judiciary
Transportation And Infrastructure,Energy And Commerce
Financial Services,Financial Services
Transportation And Infrastructure,Energy And Commerce
Rules,Judiciary
Judiciary,Judiciary
Oversight and Reform,Oversight and Reform
Natural Resources,Natural Resources
Energy And Commerce,Energy And Commerce
"Science, Space, And Technology",Education and Labor
Education and Labor,Energy And Commerce
Education and Labor,Energy And Commerce
Agriculture,Ways And Means
Energy And Commerce,Energy And Commerce
Judiciary,Judiciary
Veterans' Affairs,Veterans' Affairs
Ways And Means,Energy And Commerce
Natural Resources,Natural Resources
Oversight and Reform,Armed Services
Armed Services,Armed Services
Foreign Affairs,Foreign Affairs
Oversight and Reform,Judiciary
Ways And Means,Ways And Means
Armed Services,Energy And Commerce
Oversight and Reform,Judiciary
Agriculture,Agriculture
Judiciary,Judiciary
Financial Services,Financial Services
Energy And Commerce,Energy And Commerce
Energy And Commerce,Energy And Commerce
Judiciary,Judiciary
Transportation And Infrastructure,Transportation And Infrastructure
Ways And Means,Ways And Means
Administration,Judiciary
Judiciary,Judiciary
Energy And Commerce,Energy And Commerce
Education and Labor,Education and Labor
Administration,Judiciary
Energy And Commerce,Energy And Commerce
Natural Resources,Natural Resources
Oversight and Reform,Foreign Affairs
Judiciary,Judiciary
Veterans' Affairs,Veterans' Affairs
Education and Labor,Education and Labor
Natural Resources,Natural Resources
"Science, Space, And Technology","Science, Space, And Technology"
Judiciary,Judiciary
Education and Labor,Energy And Commerce
Education and Labor,Education and Labor
Natural Resources,Natural Resources
Transportation And Infrastructure,Transportation And Infrastructure
Judiciary,Judiciary
Natural Resources,Energy And Commerce
Foreign Affairs,Judiciary
Natural Resources,Natural Resources
Oversight and Reform,Oversight and Reform
Energy And Commerce,Energy And Commerce
Foreign Affairs,Foreign Affairs
Foreign Affairs,Foreign Affairs
Transportation And Infrastructure,Transportation And Infrastructure
Judiciary,Judiciary
Foreign Affairs,Foreign Affairs
Small Business,Financial Services
Veterans' Affairs,Veterans' Affairs
Ways And Means,Foreign Affairs
Transportation And Infrastructure,Judiciary
Small Business,Small Business
